building_id,stem,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,construction_period_provenance,floor_area_m2,gross_footprint_area_m2,conditioned_floor_area_m2,context_building_count
way/1054785374,2e6162aa24059905,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,9fb25553bfaa552ea5f91622b5d2327f2ced4f92cc4ca9e7df1ba6be75ef5b81,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,448.9519,448.9519,408.5463,9
way/1054785381,96664f92acdf04e8,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,G,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,3534095959300d95c0af9479195f732ac2f6163380947879a57e5e0b9c667fd6,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,203.7356,203.7356,203.7356,9
way/1054785382,816e388cc0fdaa78,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,7d4e4100f360fc369fe2d76f5d29c8e292951dbd67411f016bbdcf90c9be72fe,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,209.211,209.211,209.211,14
way/1057093131,acd9800057059025,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,H,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,1d4d53b8f743d07a0bd75b266b41b42a8af716a21fa40be8f3c09248f9213ac1,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,205.7248,205.7248,205.7248,13
way/1057093136,d0865da1e602d3c4,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,0ff4a2a46ec5414f01cb88513a995dd4bc96dbec14b399b378a8bad96e7005b0,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,506.3866,506.3866,506.3866,11
way/1057529442,460d1fcdef25a219,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,46626bc560b7a0367c27441c0fd16452866a6aa699cf72d2caa62f99620c7cbc,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,243.1615,243.1615,243.1615,7
way/1057529443,022036db01ca1caa,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,2f62bfedf94ea124c48dcfc927f54f17d6909c930e3cb9aeb8d2023751a83585,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,213.9742,213.9742,213.9742,8
way/1057823423,854365cba7843f0e,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,44304eed3847291f552cbfe6ccea614950b2f432da06d2ea1cf03362fc3f1ad4,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,412.3368,412.3368,412.3368,8
way/1058252118,399d7dc617815dd5,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,I,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,07a808e70c58ef5176d362e3ee14929caf3c87d40b2de1664a26011b5cee4d43,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,510.3218,510.3218,510.3218,14
way/1058252123,2e05b77ecc5bc3aa,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,G,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,9955b8561139b909f40e19d5999b3c18925b0a24b59e3e7b9019ce70952fb365,379d10100e944b1074a6987f3a7d1002c4b642a874a1ebb5d03fb934fd04f745,,498.2866,498.2866,498.2866,14
