mode,osm_id,archetype_id,floor_area_m2,generation_status,zoning_strategy,num_zones,status,has_fatal,heating_eui_kwh_m2,cooling_eui_kwh_m2,lighting_eui_kwh_m2,equipment_eui_kwh_m2,fans_eui_kwh_m2,pumps_eui_kwh_m2,dhw_eui_kwh_m2,total_eui_kwh_m2,phaseE_total_eui,phaseE_heating_eui
auto,way/472960895,MidriseApartment,206.87808236387656,success,one_zone_per_floor,2,success,False,52.34947494176867,14.526326733197505,3.965491160723449,43.39802567754816,9.993677888281306,0.0,34.67259082332424,158.90558722484334,158.9055865711693,52.34947472642389
auto,way/472960999,MidriseApartment,106.55667836374124,success,one_zone_per_floor,2,success,False,65.41554191535288,16.646661782471035,3.8921784047880816,42.59569660010938,12.001675944969167,0.0,37.61788309334507,178.16963774103561,181.52562651536778,66.64770373101463
auto,way/472961028,MidriseApartment,75.2779891356327,success,single_zone,1,success,False,80.17238780421047,15.82914830846811,3.9654911691172003,43.39802576940872,11.912854461745646,0.0,40.12402954089856,195.4019370538487,194.8332214768545,80.08114528669655
auto,way/472961029,MidriseApartment,64.70239900725761,success,single_zone,1,success,False,85.54729148062974,16.950222629340374,3.9654911753800457,43.398025837948815,12.768514640364334,0.0,41.52679517237044,204.15634093603373,204.15633969201326,85.54729101303903
auto,way/472961098,MidriseApartment,266.3294797152314,success,one_zone_per_floor,2,success,False,44.6265546974967,13.487651649538137,3.965491102310578,43.398025038282256,9.15596447683351,0.0,33.97551653273662,148.6092034971978,148.60920513459524,44.62655521213183
auto,way/222366800,SmallOffice,149.94484356356114,success,single_zone,1,success,False,20.623704617441888,22.533846348291263,26.465100441814634,27.764777894078968,14.108652134552043,0.0,5.816512723673273,117.31259415985207,117.28916553295375,20.622622113831493
auto,way/472960967,SmallOffice,441.6645091840761,success,one_zone_per_floor,2,success,False,18.104930916363838,22.828588422432382,26.513937297747102,27.816013084400325,12.534413216557647,0.0,2.786910591694829,110.58479352919613,110.37224594241648,18.076427658826848
auto,way/472960970,SmallOffice,29.40207916414758,success,single_zone,1,success,False,51.89254342192956,49.192345388752926,26.465101685782034,27.7647791991365,29.409106634159556,0.0,24.591024708328668,209.31490103808923,208.79313321827877,51.94435610302772
auto,way/472960971,SmallOffice,457.1761362533084,success,one_zone_per_floor,2,success,False,15.73138053547395,21.02012356991043,26.27430288319715,27.564610437719093,11.380303660104575,0.0,2.7329264427864115,104.70364752919161,105.46397776389155,15.845617668035015
auto,way/472960975,SmallOffice,131.75197701519377,success,single_zone,1,success,False,22.692488562317987,26.44799972018064,26.31922676947093,27.611740495935667,15.563740945142884,0.0,6.447733621771128,125.08293011481925,125.37913530540268,23.065789188426734
auto,way/472960936,MediumOffice,4367.916319519761,success,perimeter_core,15,success,False,40.293432727377485,30.21251089061914,26.465099718848506,44.063274628193035,67.25950542763879,0.0,3.806436752863097,212.10026014554003,212.1002601455154,40.29343272737767
auto,way/472960937,MediumOffice,2702.646676062805,success,perimeter_core,10,success,False,44.80927107719483,32.51621654389582,26.465101457597708,44.06327752313711,73.3878638161579,0.0,4.262291618347538,225.50402203633092,225.50402203610275,44.80927107719524
auto,way/472960938,MediumOffice,2800.8749115707997,success,perimeter_core,10,success,False,43.65731993910915,32.06191634622005,26.465098918094395,44.06327329497122,72.16422829862476,0.0,4.219867919927937,222.6317047169475,222.63172105458756,43.65732314285656
auto,way/472960940,MediumOffice,2811.8654598536828,success,perimeter_core,10,success,False,43.43122322820366,31.972884994353674,26.465100493468835,44.063275917903205,71.92431076862376,0.0,4.215167955540343,222.07196335809348,222.07196174350617,43.431222912431615
auto,way/472960941,MediumOffice,2594.5805624542754,success,perimeter_core,10,success,False,43.92794790374529,32.19041652159588,26.465100180708113,44.0632753971698,72.47816078322747,0.0,4.310962426052381,223.43586321249893,223.43586673999792,43.927948598023704
auto,way/472960939,LargeOffice,6158.351395526425,success,perimeter_core,10,success,False,25.966657476767537,28.65902935905555,26.465100456291818,44.06327585600504,54.2881195286903,11.07244881832464,2.7685686601887816,193.28320015532364,193.28320180406712,25.966657698231533
auto,way/472960930,Warehouse,30.45752918513231,success,single_zone,1,success,False,11.504678773092042,0.0,4.863585409250059,11.300401341223973,0.825898595719679,0.0,22.70376088059516,51.19832499988091,51.1983189232454,11.504677407622765
auto,way/472960931,Warehouse,60.01566785955741,success,one_zone_per_floor,2,success,False,14.571734724677599,0.0,4.86358496785461,11.300400315654294,1.0170460010076399,0.0,11.841215477156606,43.59398148635075,43.59398026658079,14.571734316956997
auto,way/472960932,Warehouse,68.16688906379218,success,one_zone_per_floor,2,success,False,13.40074042665659,0.0,4.883027200958822,11.345573787190204,0.9045249454903137,0.0,10.49222511324793,41.026091473543865,40.86274097666747,13.347383693238053
auto,way/472960933,Warehouse,950.0711005348012,success,one_zone_per_floor,2,success,False,4.245355234520247,0.0,4.845279401804916,11.257867857450435,0.21830516350483797,0.0,1.2210391503111382,21.787846807591574,21.870161045156838,4.261394141861622
auto,way/472960934,Warehouse,174.46363276158667,success,one_zone_per_floor,2,success,False,7.563526660208712,0.0,4.863584760190339,11.30039983315231,0.44406668821067596,0.0,4.3646508282312055,28.536228769993247,28.53622934969669,7.563526813881923
